' Kashish Care Centre','H no. 2043, ground floor, Sector 10, Faridabad - 121006','+(91)-11-33083929','+(91)-9023702334'
' Aim Airconditoner','Hn00 nithari lll, Thana sector 20, Noida HO, Delhi - 201301','+(91)-11-33055683','+(91)-9711556396'
' National Aircon','315, Third Floor, Vashisht Complex, M G Road, DLF City Phase 1, Gurgaon - 122001, Opposite Metro Pillar Number 51, Sikandarpur','+(91)-124-4369215','+(91)-9818751806'
' Perfect Solutions','702 first Floor, Mangolpur Kalan, Rohini, Delhi - 110085, Nr. Marvel market','+(91)-11-33054905','+(91)-9810676700'
' Guru Aircon','C 35, Vijay Enclave, Delhi - 110045, Vinod Puri','+(91)-11-33066360','+(91)-9871515299'
' Ranjit Air Conditioner','9 bhawani, Kunj bihind, D-2, Vasant Kunj, Delhi - 110070','+(91)-11-33853541','+(91)-9810282755'
' New Shree Krishna Electrical & Electronics','A-1/4, Main 25 foota road, Burari, Delhi - 110084, Amrit Vihar','+(91)-11-33074991','+(91)-9212126161'
' Fiza Aircon','A-1/139, Main road, Aman Vihar, Delhi - 110086, Near Karan public school','+(91)-11-33061184','+(91)-9821701488'
' PALAM Refrigeration & Electricals','H-293, Gali No -6, Near Gurudwara, Palam Colony bagdola, Delhi - 110077, Raj Nagar Part -2','+(91)-11-33074339','+(91)-9871789366'
' Aircool Airconditioner Works','B-57, Bharat Nagar, New Friends Colony, Delhi - 110025, Near Custom Shop','+(91)-11-33452431','+(91)-9891165863'
' Renu Aircon','App. Tower, Harfala mangla road, Ballabhgarh, Delhi - 121004, Near peer baba','+(91)-11-33061789','+(91)-9810305165'
' befikr.in','Kh-258, plot no-2, Lane no.-4, Saket, Delhi - 110017, Saiyad ul ajaib','+(91)-11-33056660','+(91)-9971130790'
' Royal Enterprises','House No. 770, Dayanand Colony, Gurgaon - 122001, Near Water Tanks','+(91)-11-33492893','+(91)-8684023884'
' Rajesh Air Conditioning','H No.14, Street No.1, Bhawani Enclave, Basai Road, Gurgaon - 122001, Near Balaji Hospital','+(91)-11-33498470','+(91)-9991462886'
' Advance AC Solutions','212, Shubham Apartment, West Guru Angad Nagar, Laxmi Nagar, Delhi - 110092','+(91)-11-33452989','+(91)-9818366338'
' Rahul Air Conditioner','113, Shop Number 6, Sector 27, Noida - 201301, Near E-221, Village Atta','+(91)-11-33066917','+(91)-9971375442'
' Mahashakti Air Conditioning Company','Gurgaon Sector 15, Gurgaon - 122001, Laxman Kirti Nagar, Jharsa','+(91)-11-33067828','+(91)-9810175874'
' Abdiel Aircon','Huda Complex, Sector 52, Old Gautam Road, Wazirabad, Gurgaon - 122003, Opposite Solanki Market','+(91)-11-33078060','+(91)-9811020707'
' City Aircon','House Number 174, Sukhrali, Gurgaon - 122001','+(91)-11-39510367','+(91)-9953500239'
' Onextel Air Conditioner','H 218, 2nd Floor, Sector 63, Noida - 201307','+(91)-11-33491051','+(91)-9999795265'
' Praveen Airconditions','House Number 36/23, H Block, Sikandarpur, Ghosi, H block, Sikanderpur Ghosi, Gurgaon - 122002, Dlf phase 1','+(91)-11-33416995','+(91)-9999470048'
' Aashi Aircon','B 6 sector 12, Noida - 201301','+(91)-11-33076175','+(91)-9811490260'
' Sangam Electricals','WZ 19 A, Meenakshi Garden Tilak Nagar, Tilak Nagar, Delhi - 110018, Near Grover Sweets','+(91)-11-33069924','+(91)-9810543128'
' Sunny Enterprises','I-2/150/7, ground floor, Sangam Vihar, Delhi - 110080, Near peepul chowk','+(91)-11-33436686','+(91)-9871597561'
' Summer Kings Air Conditioning','shahabad mohammadpur, south west delhi, Shahbad Mohammadpur, Delhi - 110061','+(91)-11-33069057','+(91)-8826922353'
' Ice World Airconditioner','1883 GL WAZIR BEG, mohalla qabristam, Main Road, Turkman Gate, Delhi - 110006, Near Ram Leela Ground','+(91)-11-33987270','+(91)-9211859345'
' Befikr.in','Kh-258, plot-2, Gokul bhawan, lane -4, Saket, Delhi - 110017, Westend marg','+(91)-11-33077255','+(91)-9971130790'
' Om Sai Enterprises','House no 84, Gali No.- 3, Sadarpur, Sector 45, Noida - 201303','+(91)-11-33822996','+(91)-9971489400'
' Verma Refrigeration Works','E-5/9, Nand Nagri, Delhi - 110093, Near MCD School,','+(91)-11-33083266','+(91)-9999613040'
' Rohini Service Centre','D-11/138, Rohini Sector 7, Delhi - 110085, Opp SAI Baba Mandir','+(91)-11-39548145','+(91)-9716047425'
' Rohini Service Centre','D-11/138, Rohini Sector 7, Delhi - 110085, Opp SAI Baba Mandir','+(91)-11-39548145','+(91)-9716047425'
' Raj Air Conditioner & Electronics Works','Shop Number 28, B - 4, D D A Market, L S C, Paschim Vihar, Delhi - 110063, Near Indane Gas Agency','+(91)-11-33074164','+(91)-9582269882'
' Shiva Air Conditioning','313/4 B2, Inderlok Shukla Bhawan, Indralok, Delhi - 110035, Near Shiv Mandir','+(91)-11-33491375','+(91)-9311314371'
' Kelvin Cool Center','sector-53, Ghijore, Sector 53, Noida - 201301, Hoshiyarpur, Gautam Buddha Nagar','+(91)-11-33820375','+(91)-9717371939'
' HADI Refrigration & Airconditioner','House Number 635, Sector 76, Delhi - 201304, Gijhode','+(91)-11-33054280','+(91)-8505883113'
' S K Enterprises','H 2/172, Rohini Sector 7, Delhi - 110085, Near Chandni Market','+(91)-11-33631290','+(91)-7291028596'
' Refrigeration  Airconditioning Corporation Of India','N 2A, Rajouri Garden, Delhi - 110027, Near Janta Market','+(91)-11-33639537','+(91)-9910048800'
' Aircon Air Conditioning','P 8-26, Dwarka Sector 1, Delhi - 110075, Near Reliance Fresh','+(91)-11-33076405','+(91)-9811009501'
' Ayaan Engineers','1/61, Block 1, Ramesh Nagar, Delhi - 110015, Near Gol Chakkar, Block 1','+(91)-11-33069806','+(91)-9811429884'
' R S Refrigeration','Shop Number 5, Noida Sector 41, Noida - 201303, Village Agahpur, Near HP Petrol Pump','+(91)-11-33428792','+(91)-9599740601'
