name,description,category1,brand,price,images
"Impressions","A classic design has been brought back to life, with added texture, through our revolutionary new level cut-loop technology. Impressions has a neutral colour palette, which provides the perfect foundation for any décor enthusiast. Made from 100% Stainproof SDX (Solution Dyed Nylon), Impressions is colourfast and bleach resistant, ensuring colour that lasts.SilverCare™ is a long-lasting protection system, with a base of non-toxic, hypoallergenic silver ions.","carpets","Belgotex","3","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/impressions-installation.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/yearling.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/theatre-red.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/studio-taupe3.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/studio-taupe.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/silvermist.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/sealskin.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/beach-house13.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/damsel.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/reflection.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/sandy-ridge.jpg | "
"Kashmir","Kashmir is a beautiful carpet made from the finest fibres, luxurious colours and chucky looped textures. This 9.5mm thick berber adds a modern, elegant touch on the floor.","carpets","Van Dyck","2","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/kashmir-installation.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/sepia.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/safari.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/meridan.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/florat.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/elbe.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/biral.jpg | "
"Luxury Wool Berber II","Luxury Wool Berber II is 100% pure wool. It’s a naturally attractive carpet, which is soft under foot and perfect for any room in your home. This range of carpets promises warmth and comfort for years to come.","carpets","Constantia","2","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/install5.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/driftwood3.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/ivory4.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/nutmeg34.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/raw-linen.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/wheat6.jpg | "
"Manhattan","Manhattan is one of our affordable ranges, made out of 100% BCF Nylon 6. Picture perfect and space-dyed, Manhattan is perfect for a modern home and happy family.","carpets","Van Dyck","1","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/manhattan-installation.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/vaudeville.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/soho.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/metropolitan.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/majestic.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/empire.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/bronx.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/brooklyn.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/centralpark.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/columbus.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/ellisisland.jpg | "
"Origins","Crisp clean colourways reflect the latest décor trends and complement any interior by adding elegance to any room in the home. This loop-pile carpet is crush resistant to ensure hard-wearing good looks while its 100% Stainproof Miracle Fibre (Polypropylene) construction ensures easy cleaning and superb colourfastness. Origins is suitable for even the most demanding residential applications.SilverCare™ is a long-lasting protection system, with a base of non-toxic, hypoallergenic silver ions.","carpets","Belgotex","1","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/install.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Origins-Vermont_756x756.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Origins-Texas_756x756.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Origins-Salem_756x756.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Origins-National_Navy_756x756.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Origins-Louisiana_756x756.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Origins-Jetset_756x756.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Origins-Innsbruck_756x756.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Origins-Indiana_756x756.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Origins-Dover_756x756.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Origins-Dakota_756x756.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Aspen.jpg | "
"Paramount Twist","Paramount Twist, a charming, earthy collection to warm any room. This popular carpet is durable and stain-safe making this range a popular choice.","carpets","Constantia","2","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/paramount_twist_2848_0940_1.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/stone-age-930.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/rustic-charm-800.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/rock-wall-785.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/rafia-650.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/earthy-tan-685.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/brownstone-810.jpg | "
"Portrait","Portrait paintings capture the spirit of the people they portray, and encapsulate the essence of who they are. Famous portraits – like Leonardo da Vinci’s ‘Mona Lisa’, Vermeer’s ‘Girl with a Pearl Earring’ and Van Gogh’s self-portraits – have been the inspiration for many great artists and designers through the centuries. And now, they have inspired Belgotex Floors to create ‘Portrait’, a new range of multilevel loop carpets that will stir the décor artist in you to express the essence and spirit of who you are.","carpets","Belgotex","1","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Masking_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Pastel_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Masking_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Crayon_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Toner_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Texture_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Primer_594x594.png | "
"Reflections","Crafted from the innovative SDX “soft” fibre technology, REFLECTION is a luxurious, aesthetically lustrous yet affordable, cut pile carpet. The combination of durability, outstanding performance and superior stain resistance together with the luxury of soft underfoot comfort, makes this range a perfect choice for the discerning homeowner.SilverCare™ is a long-lasting protection system, with a base of non-toxic, hypoallergenic silver ions.SDX Soft™ yarn combines the superior performance characteristics of stain-proof SDX with unbelievable softness.","carpets","Belgotex","3","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/reflection-lounge-low-res.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/reflection-aura.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/reflection-vision.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/reflection-twinkle.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/reflection-spectrum.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/reflection-shine.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/reflection-pool.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/reflection-clone.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/reflection-dream.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/reflection-flare.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/reflection-mirror.jpg | "
"Romeo","A soft luxurious touch in your room","carpets","Van Dyck","1","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2017/03/Romeo-Installation.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2017/03/Mushroom-41.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2017/03/Light-Grey-93.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2017/03/Desert-35.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2017/03/Dark-Grey-96.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2017/03/Cream-36-1.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2017/03/Charcoal-98.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2017/03/Oyster-32.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2017/03/Red-16.jpg | "
"Royal Twist","Offers a stately blend of sophistication, luxury and outstanding performance. Available in a selection of subtle neutral shades, the dense pile of Royal Twist offers superior comfort. Maintenance is easy too, thanks to stain-resistant 100% Stainproof SDX (Solution Dyed Nylon) construction which ensures that colours will not fade.SilverCare™ is a long-lasting protection system, with a base of non-toxic, hypoallergenic silver ions.","carpets","Belgotex","4","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/royal-twist-installation.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/royal-twist-alloy.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/royal-twist-viscount-pearl.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/royal-twist-silver-crown.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/royal-twist-pistacio.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/royal-twist-jette.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/royal-twist-grey-monarch.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/royal-twist-calcite.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/royal-twist-canvas-tan.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/royal-twist-carbon.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/royal-twist-dukes-cape.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/royal-twist-earl-grey.jpg | "
"Serengeti","Serengeti is the perfect commercial flooring option for those projects requiring a touch of African flavour. The distinctive paw print pattern evokes memories of Africa’s unique natural heritage. Serengeti is a plush cut-pile industrial carpet that is ideally suited to heavy commercial use.The 100% Stainproof SDX (Solution Dyed Nylon) fibres that make up a Serengeti carpet provide superior colourfastness and resistance to carpet tile stains and soiling. Serengeti commercial carpets are extremely durable and easy to maintain. The Serengeti range is available in a variety of contemporary colourways that reflect the current décor trends.SilverCare™ is a long-lasting protection system, with a base of non-toxic, hypoallergenic silver ions.","carpets","Belgotex","3","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/serengeti-laid.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/mabula.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/wild-cheetah.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/tembe.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/river-sand.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/phinda.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/mamba.jpg | "
"Shaggy Exclusive Broadloom","Shaggy Exclusive is a super soft and comfortable ready-made carpet with super long pile threads. Available in five exquisite colours, the Shaggy adds a perfect finish in any room especially during winter’s cold days.","carpets","Van Dyck","4","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/shaggy-exclusive-broadloom-installation.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/blossom.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/silver-frost.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/french-grey.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/feather.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/dolphin-dance.jpg | "
"Silhouette Elite","Silhouette Elite is a beautiful, soft and luxurious carpet. It is imported from Belgium and is a must for any family room.  It’s the picture-perfect choice for comfort, style and beauty. It’s amazingly soft, and comes in a variety of natural colours.","carpets","Constantia","4","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/installation85.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/theatre-red5.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/stone-beige-765.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/silver-grey-925.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/mushroom-710.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/cotton-field-790.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/brown-sugar-875.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/coffee-895.jpg | "
"Sorrento","Sorrento is a carefully cut tufts, available in colours suitable for both serenity and celebration. You can find bright blue and green for an extra bright tint in a room.","carpets","Van Dyck","2","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Sorrento.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/firenze.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/turin.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/tivoli.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/taranto.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/sienna.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/roma.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/komo.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/napoli.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/parma.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/pavio.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/pdua.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/rimini.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/genoa.jpg | "
